SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
AR-TF2,1450,GRP_ONEFLUX,PRODUCT_FIRST_YEAR,2016
AR-TF2,1450,GRP_ONEFLUX,PRODUCT_LAST_YEAR,2018
AR-TF2,1450,GRP_ONEFLUX,PRODUCT_NAME,AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1.zip
AR-TF2,1450,GRP_ONEFLUX,PRODUCT_ONEFLUX_VERSION,1.3.2-rc
AR-TF2,1450,GRP_ONEFLUX,PRODUCT_PROCESSING_CENTER,AMP
AR-TF2,1450,GRP_ONEFLUX,PRODUCT_PROCESSING_DATE,20251213
AR-TF2,1450,GRP_ONEFLUX,PRODUCT_SOURCE_NETWORK,AMF
AR-TF2,1450,GRP_ONEFLUX,PRODUCT_TIME_RESOLUTION,HH
AR-TF2,1451,LAND_OWNERSHIP,LAND_OWNER,National Park
AR-TF2,1451,LAND_OWNERSHIP,LAND_OWNERSHIP,public
AR-TF2,1452,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_DATE_END,201804171500
AR-TF2,1452,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_DATE_START,201602081500
AR-TF2,1452,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_METHOD,Eddy Covariance
AR-TF2,1452,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_OPERATIONS,Continuous operation
AR-TF2,1452,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_VARIABLE,H2O
AR-TF2,1453,NETWORK,NETWORK,AmeriFlux
AR-TF2,1454,TOWER_POWER,TOWER_POWER,Wind generator
AR-TF2,1455,SITE_CHAR,ASPECT,FLAT
AR-TF2,1455,SITE_CHAR,SURFACE_HOMOGENEITY,200
AR-TF2,1455,SITE_CHAR,TERRAIN,Valley
AR-TF2,1455,SITE_CHAR,WIND_DIRECTION,WNW
AR-TF2,1456,SITE_DESC,SITE_DESC,Pristine Sphagnum magellanicum dominated bog located in Parque Nacional Tierra del Fuego. The peatland extends about 60 ha.
AR-TF2,1457,CLIM_AVG,MAP,530
AR-TF2,1457,CLIM_AVG,MAT,5.5
AR-TF2,1458,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_DATE_END,201804171500
AR-TF2,1458,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_DATE_START,201602081500
AR-TF2,1458,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_METHOD,Eddy Covariance
AR-TF2,1458,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_OPERATIONS,Continuous operation
AR-TF2,1458,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_VARIABLE,CO2
AR-TF2,1459,TOWER_TYPE,TOWER_TYPE,tripod
AR-TF2,1460,RESEARCH_TOPIC,RESEARCH_TOPIC,Carbon dioxide and energy exchange
AR-TF2,1461,TOWER_POWER,TOWER_POWER,Solar panels
AR-TF2,1462,TEAM_MEMBER,TEAM_MEMBER_EMAIL,david.holl@uni-hamburg.de
AR-TF2,1462,TEAM_MEMBER,TEAM_MEMBER_INSTITUTION,Universität Hamburg
AR-TF2,1462,TEAM_MEMBER,TEAM_MEMBER_NAME,David Holl
AR-TF2,1462,TEAM_MEMBER,TEAM_MEMBER_ROLE,DataManager
AR-TF2,1463,IGBP,IGBP,WET
AR-TF2,1463,IGBP,IGBP_COMMENT,"Sphagnum magellanicum dominated peatland. Also: Empetrum rubrum, Marsippospermum grandiflorum,Tetroncium magellanicum, Gaultheria antarctica, Nothofagus antarctica, Carex magellanica, Rostkovia magellanica, Nanodea muscosa and Pernettya pumila"
AR-TF2,1464,SITE_FUNDING,SITE_FUNDING,DFG
AR-TF2,1465,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_DATE_END,201804171500
AR-TF2,1465,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_DATE_START,201602081500
AR-TF2,1465,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_METHOD,Eddy Covariance
AR-TF2,1465,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_OPERATIONS,Continuous operation
AR-TF2,1465,FLUX_MEASUREMENTS,FLUX_MEASUREMENTS_VARIABLE,H
AR-TF2,1466,LOCATION,LOCATION_ELEV,60
AR-TF2,1466,LOCATION,LOCATION_LAT,-54.8269
AR-TF2,1466,LOCATION,LOCATION_LONG,-68.4549
AR-TF2,1467,UTC_OFFSET,UTC_OFFSET,-3
AR-TF2,1468,SHIPPING_ADDRESS,SHIPPING_ADDRESS,Veronica PancottoCentro Austral de Investigaciones CientíficasCADIC-CONICETBernardo Houssay 200 (V9410BFD) UshuaiaTierra del Fuego- ARGENTINA
AR-TF2,1469,TEAM_MEMBER,TEAM_MEMBER_EMAIL,lars.kutzbach@uni-hamburg.de
